metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
xgb,xgb,synthcity.metrics.eval_performance,nflow,384,0.5069684736639753,383,383,step_384_real.parquet,step_384_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,576,0.8051837097515083,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,768,0.8648107022271544,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,960,0.8601431803442777,959,959,step_960_real.parquet,step_960_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,1152,0.8028555459308002,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,1344,0.7628125769413495,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,1536,0.7631895141804552,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,1728,0.6404160334181527,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,1920,0.669093324123574,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,2112,0.7078112739321073,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,192,0.4666922978341663,191,191,step_192_real.parquet,step_192_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,384,0.49052180785168104,383,383,step_384_real.parquet,step_384_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,576,0.6944729521394173,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,768,0.7049848372749957,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,960,0.6609118015371275,959,959,step_960_real.parquet,step_960_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,1152,0.6654135111572792,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,1344,0.6097057936185929,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,1536,0.535961740687123,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,1728,0.5828777823938999,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,1920,0.5191989663557476,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,pategan,2112,0.5055231934612513,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,192,0.5786748686402666,191,191,step_192_real.parquet,step_192_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,384,0.5799692425990004,383,383,step_384_real.parquet,step_384_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,576,0.7655604812611109,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,768,0.7179013325653131,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,960,0.8554353318898923,959,959,step_960_real.parquet,step_960_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,1152,0.8727943241168776,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,1344,0.8816702731569621,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,1536,0.8821304016504424,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,1728,0.7889509643622888,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,1920,0.8851769183425753,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,rtvae,2112,0.9012863685441971,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,192,0.8527666666666667,191,191,step_192_real.parquet,step_192_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,384,0.860387617324433,383,383,step_384_real.parquet,step_384_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,576,0.8714651039639264,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,768,0.8704690854387523,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,960,0.9267789012045308,959,959,step_960_real.parquet,step_960_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,1152,0.9298909069987946,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,1344,0.9182778835450414,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,1536,0.9310193594979203,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,1728,0.907175040738848,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,1920,0.954440458705618,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,tvae,2112,0.9448471769571167,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
